pair,dir,signal_time,entry_time,exit_time,entry_ref,fill,sl,tp,exit,sl_dist,sl_pips,r,outcome,quality,bars,year,weekday,session
USDJPY,1,2024-03-01 09:45:00+00:00,2024-03-01 10:00:00+00:00,2024-03-01 10:15:00+00:00,150.624,150.635,150.4212568442556,151.0294863114888,150.4182568442556,0.20274315574439863,20.274315574439864,-1.0690528858968404,loss,2,1,2024,Friday,London
USDJPY,1,2024-03-20 07:45:00+00:00,2024-03-20 08:00:00+00:00,2024-03-20 13:30:00+00:00,151.484,151.494,151.326074300443,151.799851399114,151.799851399114,0.15792569955699784,15.792569955699785,1.9366790837207473,win,2,22,2024,Wednesday,London
USDJPY,1,2024-03-20 15:30:00+00:00,2024-03-20 15:45:00+00:00,2024-03-20 18:00:00+00:00,151.636,151.64499999999998,151.51586091182637,151.87627817634723,151.51286091182638,0.12013908817362166,12.013908817362166,-1.0998842273768423,loss,2,9,2024,Wednesday,NY
USDJPY,1,2024-04-03 08:00:00+00:00,2024-04-03 08:15:00+00:00,2024-04-04 14:30:00+00:00,151.703,151.713,151.53075471090398,152.04749057819205,151.527754710904,0.17224528909602338,17.224528909602338,-1.075473762261978,loss,0,121,2024,Wednesday,London
USDJPY,1,2024-04-08 08:15:00+00:00,2024-04-08 08:30:00+00:00,2024-04-08 14:45:00+00:00,151.839,151.85,151.7476705589969,152.0216588820062,151.74467055899692,0.09132944100310103,9.132944100310104,-1.1532912043062034,loss,1,25,2024,Monday,London
USDJPY,1,2024-04-16 09:15:00+00:00,2024-04-16 09:30:00+00:00,2024-04-16 14:30:00+00:00,154.514,154.528,154.27528062962045,154.9914387407591,154.27228062962047,0.23871937037954552,23.871937037954552,-1.0712133245532163,loss,2,20,2024,Tuesday,London
USDJPY,1,2024-04-18 14:30:00+00:00,2024-04-18 14:45:00+00:00,2024-04-19 02:30:00+00:00,154.565,154.575,154.30404273341222,155.08691453317556,154.30104273341223,0.2609572665877827,26.09572665877827,-1.0498165855657509,loss,1,47,2024,Thursday,NY
USDJPY,1,2024-04-24 10:15:00+00:00,2024-04-24 10:30:00+00:00,2024-04-24 13:15:00+00:00,154.933,154.94299999999998,154.7634940438449,155.27201191231018,154.76049404384491,0.16950595615509118,16.950595615509116,-1.076693470216959,loss,2,11,2024,Wednesday,London
USDJPY,1,2024-04-24 15:30:00+00:00,2024-04-24 15:45:00+00:00,2024-04-26 04:15:00+00:00,155.088,155.099,154.7548538608218,155.75429227835636,155.75429227835636,0.3331461391781817,33.31461391781817,1.9669814573654418,win,1,146,2024,Wednesday,NY
USDJPY,1,2024-04-30 08:00:00+00:00,2024-04-30 08:15:00+00:00,2024-04-30 08:15:00+00:00,156.912,156.922,156.69152711917528,157.35294576164944,156.6885271191753,0.22047288082472025,22.047288082472026,-1.058964168070727,loss,1,0,2024,Tuesday,London
USDJPY,1,2024-05-17 08:30:00+00:00,2024-05-17 08:45:00+00:00,2024-05-17 15:30:00+00:00,155.804,155.814,155.5857834964911,156.24043300701777,155.58278349649112,0.21821650350889138,21.821650350889136,-1.059573862613257,loss,2,27,2024,Friday,London
USDJPY,1,2024-06-24 09:45:00+00:00,2024-06-24 10:00:00+00:00,2024-06-24 10:15:00+00:00,159.784,159.796,159.6399200252603,160.07215994947938,159.6369200252603,0.14407997473970002,14.407997473970003,-1.1041088466810356,loss,2,1,2024,Monday,London
USDJPY,1,2024-07-03 09:45:00+00:00,2024-07-03 10:00:00+00:00,2024-07-03 14:15:00+00:00,161.845,161.855,161.66339841823154,162.20820316353692,161.66039841823155,0.18160158176845478,18.160158176845478,-1.0715852795630314,loss,3,17,2024,Wednesday,London
USDJPY,-1,2024-07-23 08:30:00+00:00,2024-07-23 08:45:00+00:00,2024-07-23 17:30:00+00:00,156.333,156.322,156.64943194708312,155.7001361058338,155.7001361058338,0.31643194708310585,31.643194708310585,1.9652373911629346,win,1,35,2024,Tuesday,London
USDJPY,-1,2024-07-24 08:30:00+00:00,2024-07-24 08:45:00+00:00,2024-07-24 13:15:00+00:00,154.65,154.64000000000001,154.95443930213173,154.04112139573655,154.04112139573655,0.3044393021317278,30.44393021317278,1.9671527298546125,win,1,18,2024,Wednesday,London
USDJPY,-1,2024-08-02 09:15:00+00:00,2024-08-02 09:30:00+00:00,2024-08-02 13:30:00+00:00,148.956,148.943,149.34581643247463,148.17636713505067,148.17636713505067,0.38981643247465647,38.98164324746565,1.9666509697463448,win,2,16,2024,Friday,London
USDJPY,-1,2024-08-08 08:30:00+00:00,2024-08-08 08:45:00+00:00,2024-08-08 10:30:00+00:00,145.653,145.644,146.42893584990745,144.10112830018508,146.43193584990743,0.7759358499074567,77.59358499074567,-1.0154651959970682,loss,1,7,2024,Thursday,London
USDJPY,-1,2024-08-20 13:45:00+00:00,2024-08-20 14:00:00+00:00,2024-08-20 18:00:00+00:00,146.167,146.16,146.57262637548936,145.35574724902128,145.35574724902128,0.40562637548936764,40.56263754893676,1.9827427395677342,win,2,16,2024,Tuesday,NY
USDJPY,-1,2024-09-04 07:30:00+00:00,2024-09-04 07:45:00+00:00,2024-09-04 15:00:00+00:00,145.082,145.07000000000002,145.55489820783154,144.13620358433687,144.13620358433687,0.4728982078315607,47.289820783156074,1.9746245602092811,win,3,29,2024,Wednesday,London
USDJPY,-1,2024-09-06 09:30:00+00:00,2024-09-06 09:45:00+00:00,2024-09-06 10:30:00+00:00,142.562,142.553,142.8298118975077,142.02637620498462,142.8328118975077,0.26781189750769174,26.781189750769173,-1.0448075687140168,loss,2,3,2024,Friday,London
USDJPY,-1,2024-09-11 09:30:00+00:00,2024-09-11 09:45:00+00:00,2024-09-11 12:30:00+00:00,141.498,141.48700000000002,141.81874365476259,140.8565126904748,141.82174365476257,0.3207436547625909,32.07436547625909,-1.0436485641791398,loss,3,11,2024,Wednesday,London
USDJPY,-1,2024-09-12 14:45:00+00:00,2024-09-12 15:00:00+00:00,2024-09-12 15:45:00+00:00,142.007,142.001,142.64040916291628,140.74018167416745,142.64340916291627,0.6334091629162731,63.340916291627316,-1.0142088250800732,loss,1,3,2024,Thursday,NY
USDJPY,-1,2024-09-13 08:30:00+00:00,2024-09-13 08:45:00+00:00,2024-09-13 10:30:00+00:00,141.079,141.07000000000002,141.43057248015657,140.37585503968688,140.37585503968688,0.351572480156567,35.1572480156567,1.974400726712207,win,3,7,2024,Friday,London
USDJPY,-1,2024-09-13 14:45:00+00:00,2024-09-13 15:00:00+00:00,2024-09-17 00:15:00+00:00,140.352,140.33200000000002,141.04146836230774,138.9730632753845,141.04446836230773,0.6894683623077451,68.94683623077451,-1.0333590361172977,loss,2,133,2024,Friday,NY
USDJPY,1,2024-10-16 09:45:00+00:00,2024-10-16 10:00:00+00:00,2024-10-16 12:45:00+00:00,149.462,149.476,149.15584844541743,150.07430310916513,149.15284844541745,0.3061515545825647,30.61515545825647,-1.055528053820162,loss,1,11,2024,Wednesday,London
USDJPY,1,2024-10-21 14:45:00+00:00,2024-10-21 15:00:00+00:00,2024-10-22 04:15:00+00:00,150.127,150.136,149.73375541814812,150.9134891637038,150.9134891637038,0.3932445818518937,39.32445818518937,1.9771134799680825,win,1,53,2024,Monday,NY
USDJPY,1,2024-10-22 07:45:00+00:00,2024-10-22 08:00:00+00:00,2024-10-22 14:30:00+00:00,150.826,150.83599999999998,150.6508426385268,151.17631472294636,150.6478426385268,0.17515736147318364,17.515736147318364,-1.0742189759576857,loss,1,26,2024,Tuesday,London
USDJPY,1,2024-11-06 09:45:00+00:00,2024-11-06 10:00:00+00:00,2024-11-07 13:30:00+00:00,153.995,154.01,153.61424715407995,154.75650569184015,153.61124715407996,0.3807528459200671,38.07528459200671,-1.0472747615489677,loss,2,110,2024,Wednesday,London
